position,now_cost,points_last_3gw,points_last_5gw,minutes_last_3gw,minutes_percentage_last_3,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,ict_last_3gw,goals_per_90,points_std_last_5gw,points_trend,next_was_home,next_fixture_difficulty,next_opp_def_strength,strength_attack_home_player_team,strength_attack_away_player_team,transfers_balance,target_points,player_id,player_name,gameweek
DEF,59,12.0,12.0,41.0,45.55555555555556,1.0,0.5,0.405,0.025,0.43,1.0,1.5,10.1,2.1951219512195124,16.97056274847714,0.0,True,1180.0,1180.0,1350,1350,449352,8.0,8,J.Timber,3
DEF,59,8.666666666666666,8.666666666666666,57.333333333333336,63.70370370370371,0.6666666666666666,0.3333333333333333,0.3,0.03333333333333333,0.3333333333333333,1.0,1.0,7.8999999999999995,1.0465116279069766,13.316656236958785,1.000000000000003,True,1300.0,1300.0,1350,1350,310541,1.0,8,J.Timber,4
DEF,59,11.333333333333334,8.5,81.0,90.0,0.6666666666666666,0.3333333333333333,0.4000000000000001,0.04,0.44,2.0,1.6666666666666667,10.066666666666666,0.7407407407407407,10.878112581387146,-8.000000000000004,False,1320.0,1240.0,1350,1350,239054,2.0,8,J.Timber,5
DEF,59,3.6666666666666665,7.0,86.33333333333333,95.92592592592592,0.0,0.0,0.13,0.04,0.17,1.0,0.6666666666666666,4.733333333333333,0.0,10.0,-0.4999999999999984,True,1100.0,1100.0,1350,1350,156869,11.0,8,J.Timber,6
DEF,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-1754,0.0,9,Kiwior,2
DEF,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1180.0,1180.0,1350,1350,-1956,0.0,9,Kiwior,3
DEF,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1300.0,1300.0,1350,1350,-2657,0.0,9,Kiwior,4
DEF,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1320.0,1240.0,1350,1350,-1312,0.0,9,Kiwior,5
DEF,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1100.0,1100.0,1350,1350,-653,0.0,9,Kiwior,6
DEF,52,0.0,0.0,18.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,1380.0,1380.0,1350,1350,-53448,0.0,10,Lewis-Skelly,2
