player_id,player_name,position,element_type,gameweek,fixture,team_name,team_short,opponent_name,opponent_short,was_home,points,minutes,goals_scored,assists,clean_sheets,bonus,goals_conceded,saves,yellow_cards,red_cards,own_goals,penalties_saved,penalties_missed,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index,bps,tackles,clearances_blocks_interceptions,recoveries,goals_vs_xg,assists_vs_xa,ict_per_90,points_last_3gw,points_last_5gw,minutes_last_3gw,goals_last_3gw,assists_last_3gw,xg_last_3gw,xa_last_3gw,xgi_last_3gw,clean_sheets_last_3gw,bonus_last_3gw,team_form_last_3gw,fixture_difficulty,strength_overall_home_player_team,strength_overall_away_player_team,strength_attack_home_player_team,strength_attack_away_player_team,strength_defence_home_opponent,strength_defence_away_opponent,now_cost,selected,transfers_in,transfers_out,transfers_balance
404,Akanji,DEF,2,6,57,Man City,MCI,Burnley,BUR,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.666666666666664,1050,1275,1315,1250,1250,1050,1050,54,42866,0,4925,-4925
404,Akanji,DEF,2,7,64,Man City,MCI,Brentford,BRE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1290,1275,1315,1250,1250,1160,1290,54,40636,0,2335,-2335
405,Aké,DEF,2,1,7,Man City,MCI,Wolves,WOL,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1150,1275,1315,1250,1250,1120,1150,54,61989,0,0,0
405,Aké,DEF,2,2,18,Man City,MCI,Spurs,TOT,True,1,67,0,0,0,0,2,0,0,0,0,0,0,0.14,0.12,0.26,1.03,15.2,9.8,5.0,3.0,9,1,4,2,-0.14,-0.12,4.029850746268656,0.5,0.5,33.5,0.0,0.0,0.07,0.06,0.13,0.0,0.0,53.0,1160,1275,1315,1250,1250,1160,1250,54,71560,2919,12326,-9407
405,Aké,DEF,2,3,22,Man City,MCI,Brighton,BHA,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,22.333333333333332,0.0,0.0,0.04666666666666667,0.04,0.08666666666666667,0.0,0.0,46.666666666666664,1210,1275,1315,1250,1250,1210,1210,54,82233,7137,8390,-1253
405,Aké,DEF,2,4,38,Man City,MCI,Man Utd,MUN,True,1,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,3,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.5,23.0,0.0,0.0,0.04666666666666667,0.04,0.08666666666666667,0.0,0.0,45.666666666666664,1100,1275,1315,1250,1250,1100,1140,54,80954,2813,9678,-6865
405,Aké,DEF,2,5,41,Man City,MCI,Arsenal,ARS,False,1,22,0,0,0,0,1,0,0,0,0,0,0,0.0,0.03,0.03,0.23,3.0,0.5,0.0,0.4,1,0,2,0,0.0,-0.03,1.6363636363636367,0.6666666666666666,0.6,8.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,55.0,1300,1275,1315,1250,1250,1290,1300,54,79889,2348,6501,-4153
405,Aké,DEF,2,6,57,Man City,MCI,Burnley,BUR,True,1,20,0,0,0,0,0,0,0,0,0,0,0,0.05,0.0,0.05,0.0,1.4,10.8,4.0,1.6,3,0,0,0,-0.05,0.0,7.2,1.0,0.8,14.666666666666666,0.0,0.0,0.016666666666666666,0.01,0.02666666666666667,0.0,0.0,62.666666666666664,1050,1275,1315,1250,1250,1050,1050,54,80463,2788,4748,-1960
405,Aké,DEF,2,7,64,Man City,MCI,Brentford,BRE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.6,14.0,0.0,0.0,0.016666666666666666,0.01,0.02666666666666667,0.0,0.0,56.0,1290,1275,1315,1250,1250,1160,1290,54,80185,1927,4016,-2089
406,Khusanov,DEF,2,1,7,Man City,MCI,Wolves,WOL,False,1,8,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.08,3.6,0.0,0.0,0.4,7,1,0,0,0.0,0.0,4.5,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1150,1275,1315,1250,1250,1120,1150,54,33910,0,0,0
406,Khusanov,DEF,2,2,18,Man City,MCI,Spurs,TOT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.5,0.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1160,1275,1315,1250,1250,1160,1250,54,38991,1889,7439,-5550
406,Khusanov,DEF,2,3,22,Man City,MCI,Brighton,BHA,False,1,84,0,0,0,0,1,0,1,0,0,0,0,0.0,0.01,0.01,1.19,14.0,2.3,0.0,1.6,8,4,2,1,0.0,-0.01,1.7142857142857144,0.6666666666666666,0.6666666666666666,30.666666666666668,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,0.0,0.0,46.666666666666664,1210,1275,1315,1250,1250,1210,1210,54,38205,1780,7256,-5476
406,Khusanov,DEF,2,4,38,Man City,MCI,Man Utd,MUN,True,8,90,0,0,1,0,0,0,0,0,0,0,0,0.0,0.01,0.01,1.51,20.0,2.1,0.0,2.2,27,2,10,5,0.0,-0.01,2.2,3.0,2.5,58.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,1.0,0.0,45.666666666666664,1100,1275,1315,1250,1250,1100,1140,54,37626,2260,5619,-3359
406,Khusanov,DEF,2,5,41,Man City,MCI,Arsenal,ARS,False,1,45,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.35,4.8,0.8,0.0,0.6,4,0,3,3,0.0,0.0,1.2,3.3333333333333335,2.2,73.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,1.0,0.0,55.0,1300,1275,1315,1250,1250,1290,1300,54,51939,11774,2644,9130
406,Khusanov,DEF,2,6,57,Man City,MCI,Burnley,BUR,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,3.0,2.0,45.0,0.0,0.0,0.0,0.0033333333333333335,0.0033333333333333335,1.0,0.0,62.666666666666664,1050,1275,1315,1250,1250,1050,1050,54,46707,5541,11576,-6035
406,Khusanov,DEF,2,7,64,Man City,MCI,Brentford,BRE,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.3333333333333333,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,1290,1275,1315,1250,1250,1160,1290,54,40040,117,7156,-7039
407,Matheus N.,DEF,2,1,7,Man City,MCI,Wolves,WOL,False,1,24,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.21,3.8,1.2,0.0,0.5,5,1,3,2,0.0,0.0,1.875,1.0,1.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1150,1275,1315,1250,1250,1120,1150,53,48799,0,0,0
407,Matheus N.,DEF,2,2,18,Man City,MCI,Spurs,TOT,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.5,0.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1160,1275,1315,1250,1250,1160,1250,53,44947,1887,10293,-8406
407,Matheus N.,DEF,2,3,22,Man City,MCI,Brighton,BHA,False,2,84,0,0,0,0,1,0,0,0,0,0,0,0.0,0.02,0.02,1.19,10.6,5.3,0.0,1.6,7,0,6,5,0.0,-0.02,1.7142857142857144,1.0,1.0,36.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,46.666666666666664,1210,1275,1315,1250,1250,1210,1210,53,38762,1817,9790,-7973
407,Matheus N.,DEF,2,4,38,Man City,MCI,Man Utd,MUN,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.6666666666666666,0.75,28.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,45.666666666666664,1100,1275,1315,1250,1250,1100,1140,53,37447,2214,5634,-3420
407,Matheus N.,DEF,2,5,41,Man City,MCI,Arsenal,ARS,False,1,45,0,0,0,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.61,11.6,0.8,0.0,1.2,5,1,6,2,0.0,0.0,2.4,1.0,0.8,43.0,0.0,0.0,0.0,0.006666666666666667,0.006666666666666667,0.0,0.0,55.0,1300,1275,1315,1250,1250,1290,1300,53,34052,875,4842,-3967
407,Matheus N.,DEF,2,6,57,Man City,MCI,Burnley,BUR,True,12,90,1,1,0,1,1,0,0,0,0,0,0,0.18,0.04,0.22,0.41,50.6,12.8,22.0,8.5,33,0,4,3,0.8200000000000001,0.96,8.5,4.333333333333333,3.0,45.0,0.3333333333333333,0.3333333333333333,0.06,0.013333333333333334,0.07333333333333333,0.0,0.3333333333333333,62.666666666666664,1050,1275,1315,1250,1250,1050,1050,53,34822,3169,3400,-231
